	1000_908	1000	1293_1000	1293_1591	1591	908_1591	908	Phase	X	Y
64	1.29409	0.663896	0.564783	0.983335	0.381312	1.36586	0.520505	1	5.5542812	14.0228
65	1.17376	0.656752	0.655822	1.07281	0.401482	1.38726	0.560987	1	6.5586658	14.0228
66	1.27995	0.7697	0.899227	1.06368	0.650697	0.929432	0.601385	3	7.5630503	14.0228
67	1.29838	0.569543	0.635135	0.85992	0.420663	1.08406	0.436834	1	8.5674343	14.0228
68	1.26852	0.751091	0.46949	1.20427	0.292817	2.03444	0.586227	2	9.5718193	14.0228
69	1.01924	0.931272	0.761481	0.997815	0.710699	1.29567	0.920063	3	10.576203	14.0228
70	1.39045	0.54946	0.588839	0.945812	0.34208	1.19711	0.397454	1	12.584972	14.0228
71	1.2389	0.619311	0.543682	0.782493	0.430302	1.17183	0.500664	1	13.589356	14.0228
72	1.36841	0.669033	0.999625	0.977818	0.683953	0.716449	0.493837	3	14.593741	14.0228
73	1.35422	0.676848	0.490896	1.20238	0.276336	1.82122	0.505518	2	15.598125	14.0228
74	1.39209	0.511555	0.636519	1.66354	0.195736	1.7822	0.371329	2	16.60251	14.0228
75	1.18071	0.673158	0.486909	0.784395	0.417859	1.37608	0.568037	1	17.606895	14.0228
76	1.09849	0.527952	0.696375	1.12088	0.328003	1.42516	0.481189	1	18.611279	14.0228
77	1.36226	0.766027	0.75185	1.14236	0.504166	1.08137	0.554933	1	-19.55533	12.9956
78	1.25768	0.506422	0.442162	0.929005	0.241033	1.73937	0.397013	2	-18.550945	12.9956
79	2.04138	0.558575	0.430648	0.919936	0.261485	1.08452	0.285644	2	-17.54656	12.9956
80	1.30289	0.578258	0.55982	0.966016	0.335108	1.31965	0.438978	1	-16.542175	12.9956
81	1.26758	0.623147	0.535046	0.75122	0.443828	1.13876	0.492794	1	-15.537791	12.9956
82	1.29	0.734982	0.511387	1.18813	0.316346	1.71434	0.568317	2	-14.533407	12.9956
83	1.52103	0.663705	0.487718	0.95626	0.338507	1.2708	0.439111	1	-13.529023	12.9956
84	1.42206	0.5942	0.628837	1.28494	0.290795	1.47293	0.419048	2	-12.524638	12.9956
85	1.53841	0.676998	0.557084	0.929816	0.405612	1.06488	0.438731	1	-11.520254	12.9956
86	1.36741	0.608909	0.674371	1.27659	0.321663	1.37219	0.444547	2	-10.515869	12.9956
87	1.54465	0.744006	0.641303	1.71929	0.277518	1.79185	0.492366	2	-9.5114851	12.9956
88	1.19402	0.698631	0.683978	1.22461	0.390205	1.50324	0.579734	1	-8.5071011	12.9956
89	1.66084	0.535968	0.536355	0.913567	0.314667	1.00152	0.321681	2	-7.5027161	12.9956
90	1.3812	0.618403	0.758476	1.17941	0.397693	1.11721	0.454583	1	-6.498332	12.9956
91	1.27466	0.836486	0.703066	1.6453	0.357445	1.81045	0.651101	2	-5.4939475	12.9956
92	1.38255	1.01816	0.6959	1.16587	0.607735	1.18929	0.730408	1	-4.489563	12.9956
93	1.44799	0.974519	0.350134	0.913001	0.373726	1.82779	0.669371	2	-3.4851785	12.9956
94	1.00723	1.16405	0.720569	1.00965	0.830762	1.40035	1.15428	3	-2.480794	12.9956
95	1.07905	0.895955	0.867428	1.1333	0.685762	1.21675	0.833329	3	-1.4764097	12.9956
96	1.31483	0.911347	0.610946	1.17921	0.472166	1.4473	0.693448	1	-0.47202519	12.9956
97	1.16956	1.04217	0.772421	1.15094	0.699424	1.27133	0.890654	1	0.53235924	12.9956
98	1.19518	0.742752	0.508723	0.767164	0.492535	1.27731	0.619272	1	1.5367436	12.9956
99	1.43984	0.747932	0.518856	1.16785	0.332293	1.55982	0.522461	2	2.5411282	12.9956
100	1.27836	0.645703	0.455049	0.917016	0.320416	1.55319	0.518041	1	3.5455124	12.9956
101	1.23824	0.585347	0.461145	0.764179	0.353229	1.34686	0.471918	1	4.5498972	12.9956
102	1.41772	0.652052	0.437455	1.10957	0.257075	1.83146	0.46003	2	5.5542812	12.9956
103	1.37397	0.677925	0.633656	1.01513	0.423171	1.15604	0.489736	1	6.5586658	12.9956
104	1.58832	0.602853	0.43304	1.04585	0.249614	1.57774	0.38592	2	7.5630503	12.9956
105	1.61574	0.641183	0.65599	1.51724	0.277221	1.42236	0.396637	2	8.5674343	12.9956
106	1.19521	1.00117	0.912895	1.58064	0.578227	1.43781	0.837414	1	9.5718193	12.9956
107	1.16691	0.742965	0.676917	1.14101	0.440774	1.41458	0.632417	1	10.576203	12.9956
108	1.2374	0.650177	0.65116	1.01682	0.416366	1.29496	0.523039	1	11.580588	12.9956
109	1.16692	0.648243	0.775417	0.834642	0.602245	0.918421	0.552482	1	12.584972	12.9956
110	1.45531	0.594888	0.388566	0.69074	0.334646	1.22826	0.409607	1	13.589356	12.9956
111	1.55623	0.599518	0.7074	1.49643	0.283407	1.37107	0.390565	2	14.593741	12.9956
112	2.05085	0.540504	0.508252	1.00543	0.273228	0.969621	0.270247	2	15.598125	12.9956
113	1.27785	0.528677	0.550904	1.36711	0.213042	1.9683	0.403701	2	16.60251	12.9956
114	1.89599	0.567981	0.470688	0.998328	0.26779	1.09705	0.30273	2	17.606895	12.9956
115	1.19518	0.699932	0.569457	0.926885	0.430022	1.37884	0.583647	1	18.611279	12.9956
