  0	600.000000	602.000000	604.000000	606.000000	608.000000
  0	  0.039828	  0.040218	  0.040821	  0.041844	  0.042715
  1	  0.087178	  0.085277	  0.083705	  0.082232	  0.081015
  2	  0.016588	  0.016452	  0.016496	  0.016549	  0.016495
  3	  0.378097	  0.402769	  0.420342	  0.430807	  0.434969
  4	  0.053143	  0.048447	  0.044415	  0.040657	  0.037184
  5	  0.052623	  0.051201	  0.049133	  0.047280	  0.045803
  6	  0.151616	  0.149428	  0.147580	  0.145836	  0.144436
  7	  0.013171	  0.013760	  0.014655	  0.015427	  0.015890
  8	  0.006921	  0.006910	  0.007063	  0.006999	  0.006636
  9	  0.027934	  0.028703	  0.029514	  0.030483	  0.031536
 10	  0.065769	  0.071426	  0.077018	  0.082027	  0.085553
 11	  0.267435	  0.270044	  0.272313	  0.274178	  0.275003
 12	  0.100325	  0.097484	  0.094744	  0.089330	  0.079715
 13	  0.064275	  0.066787	  0.069157	  0.071218	  0.073895
 14	  0.021293	  0.021386	  0.021519	  0.022255	  0.023114
 15	  0.032831	  0.031741	  0.031092	  0.030774	  0.030955
 16	  0.020882	  0.020785	  0.020611	  0.021084	  0.021874
 17	  0.356925	  0.352273	  0.343128	  0.333959	  0.325756
 18	  0.367394	  0.363767	  0.359832	  0.354709	  0.348956
 19	  0.415107	  0.410413	  0.405439	  0.400761	  0.396045
 20	  0.100762	  0.101553	  0.102077	  0.103088	  0.104027
 21	  0.032759	  0.033374	  0.033933	  0.035392	  0.037595
 22	  0.130404	  0.135527	  0.141307	  0.147618	  0.153478
 23	  0.087624	  0.075946	  0.081495	  0.094274	  0.107364
