	HC	wG	D5G	D1G	D4D5G	DG	Phase	X	Y
4375	0.396669403	37.1779	0.514697872	1.579780132	0.579090177	1.948448411	6	-18.828747	-40.0804
4376	0.246996646	42.1737	0.345077795	1.673477492	0.368668279	2.187750257	4	-17.571926	-40.0804
4377	0.395549841	40.2813	0.513429103	1.710007981	0.514272765	2.426018968	4	-16.315104	-40.0804
4378	0.518279562	39.8101	0.65251537	1.233424896	0.716010988	1.849003205	6	-15.058282	-40.0804
4379	0.437512953	38.7519	0.560984761	1.420987871	0.615578309	2.126941512	6	-13.80146	-40.0804
4380	0.497335528	37.1035	0.628780063	1.522348764	0.705953641	2.289783539	6	-12.544639	-40.0804
4381	0.520030095	37.8184	0.654499201	1.390126013	0.767434775	2.032645391	6	-11.287816	-40.0804
4382	0.428855496	37.1305	0.5511735	1.712637568	0.642519378	2.356859708	6	-10.030994	-40.0804
4383	0.430957712	36.79	0.553555884	1.502609139	0.64422214	2.15725157	6	-8.7741728	-40.0804
4384	0.435977684	36.3177	0.559244882	1.500833114	0.654642431	2.042908172	6	-7.5173512	-40.0804
4385	0.351801818	36.4769	0.463850655	1.683679709	0.542075058	2.326579434	6	-6.260529	-40.0804
4386	0.435267444	36.2315	0.558439987	1.741238122	0.642899724	2.52038656	6	-5.0037074	-40.0804
4387	0.545159624	37.7398	0.682977815	1.5599679	0.779148438	2.416071623	6	-3.7468853	-40.0804
4388	0.621902536	38.7399	0.769948477	1.248122582	0.856103723	2.089732862	6	-2.4900634	-40.0804
4389	0.614348379	37.6115	0.761387555	1.542718629	0.84161028	2.477884728	6	-1.2332417	-40.0804
4390	0.676524015	39.6391	0.831849519	1.546236412	0.935166098	2.017609673	4	0.023580147	-40.0804
4391	0.275291112	45.1263	0.377143146	1.655597955	0.471373261	2.396539785	4	1.2804019	-40.0804
4392	0.493817707	40.8354	0.624793412	1.319189066	0.74094183	2.015581514	4	2.5372238	-40.0804
4393	0.477628881	38.2621	0.606447055	1.39469184	0.696392447	2.052713217	6	3.7940457	-40.0804
4394	0.462221897	36.5588	0.588986737	1.673456997	0.658021378	2.169210001	6	5.0508676	-40.0804
4395	0.311525662	36.5546	0.418206779	1.619016903	0.495753003	2.21543028	6	6.3076892	-40.0804
4396	0.398887242	36.0051	0.517211289	1.945676269	0.596413378	2.410705311	6	7.5645113	-40.0804
4397	0.302474497	35.8007	0.407949339	1.713274006	0.465029042	2.115473872	6	8.8213329	-40.0804
4398	0.252594528	35.6811	0.351421723	1.732377486	0.402199866	2.20717139	6	10.078155	-40.0804
4399	0.307478601	36.2523	0.413620355	1.610818431	0.474793904	2.174843092	6	11.334977	-40.0804
4400	0.379514309	35.6036	0.495256469	1.580996519	0.564024661	2.195856714	6	12.591799	-40.0804
4401	0.418646595	36.31	0.539604029	1.469358928	0.614860195	2.148337029	6	13.84862	-40.0804
4402	0.465060649	36.2551	0.592203818	1.377656304	0.678978101	2.046411198	6	15.105442	-40.0804
4403	0.463421212	36.3729	0.590345888	1.431349058	0.668754895	2.192707928	6	16.362265	-40.0804
4404	0.535791496	36.4981	0.672361169	1.40353821	0.761358869	2.00767542	6	17.619085	-40.0804
4405	0.39258616	35.9059	0.510070444	1.683545024	0.60413721	2.177733766	6	18.875908	-40.0804
4406	0.313683471	35.9225	0.420652165	1.766870161	0.494188742	2.356531289	6	20.13273	-40.0804
4407	0.38981557	36.5197	0.50693061	1.51537207	0.589661129	2.064886064	6	21.389551	-40.0804
4408	0.359669014	36.2206	0.472766335	1.652853597	0.549513994	2.084651049	6	22.646374	-40.0804
4409	0.259618107	35.753	0.359381354	1.995253989	0.431797453	2.540338275	6	23.903194	-40.0804
4410	0.364773729	37.0017	0.47855137	1.590865604	0.545084286	2.076991699	6	25.160017	-40.0804
4411	0.308854758	36.0824	0.415179917	1.782942925	0.486126095	2.343770734	6	26.41684	-40.0804
4412	0.355981599	36.2359	0.468587487	1.659542714	0.560827808	2.424124008	6	27.67366	-40.0804
4413	0.530618943	36.4595	0.666499255	1.370436485	0.764581295	2.035173132	6	28.930483	-40.0804
4414	0.44131199	36.353	0.565290106	1.499561773	0.664736647	2.02840338	6	30.187304	-40.0804
4415	0.333689906	36.1447	0.443324916	1.754523256	0.528841608	2.311309957	6	31.444126	-40.0804
4416	0.35792774	36.5714	0.470792996	1.64885146	0.556786701	2.147538331	6	32.700947	-40.0804
4417	0.315400766	35.9782	0.42259833	1.865994751	0.498686871	2.336650255	6	33.957771	-40.0804
4418	0.299431738	35.6541	0.404501063	1.857779757	0.470655504	2.272538876	6	35.214592	-40.0804
4419	0.216949195	33.8146	0.311025833	2.343364834	0.41475912	3.01734644	4	36.471413	-40.0804
4420	0.458768715	35.5065	0.58507334	1.489359482	0.673981605	1.489359482	4	37.728237	-40.0804
4421	0.534674732	38.9681	0.671095571	1.403968681	0.755330225	2.033140701	6	-42.708363	-41.3371
4422	0.441667281	39.1479	0.565692748	1.393115618	0.62917202	1.765334139	4	-41.451542	-41.3371
4423	0.248833898	47.4985	0.347159903	1.544032626	0.372218521	2.299533159	4	-40.194717	-41.3371
4424	0.437762673	44.3295	0.561267762	1.197224212	0.755500533	1.574748481	4	-38.937897	-41.3371
4425	0.275627415	43.8518	0.377524269	1.620302663	0.377524269	2.336465206	4	-37.681076	-41.3371
4426	0.574441828	41.3527	0.716162543	0.930460569	0.716162543	1.598130847	4	-36.424252	-41.3371
4427	0.470982234	37.4883	0.59891459	1.605119631	0.667670278	2.40715868	6	-35.167431	-41.3371
4428	0.570714351	39.4277	0.711938294	1.185928444	0.802039049	1.651086286	6	-33.91061	-41.3371
4429	0.35295528	46.0879	0.465157842	1.266822129	0.465157842	1.778382051	4	-32.65379	-41.3371
4430	0.390322812	45.838	0.507505454	1.532383284	0.511559923	2.262353318	4	-31.396967	-41.3371
4431	0.526548618	40.4374	0.661886467	1.450767141	0.729970034	2.067531977	6	-30.140144	-41.3371
4432	0.426879912	38.5771	0.548934624	1.752328888	0.616764836	2.232737272	6	-28.883322	-41.3371
4433	0.312648269	39.5344	0.419478999	1.610840187	0.480408384	2.163682188	4	-27.626501	-41.3371
4434	0.374832749	38.1385	0.489950985	1.662357314	0.552842001	2.247404806	6	-26.369678	-41.3371
